PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
13,01,SUMATERA BARAT,KEPULAUAN MENTAWAI,1144012,99.627695,-2.142733
13,02,SUMATERA BARAT,PESISIR SELATAN,1144012,100.900139,-1.649048
13,03,SUMATERA BARAT,SOLOK,1144012,100.817231,-0.953612
13,04,SUMATERA BARAT,SIJUNJUNG,1144012,101.068706,-0.666580
13,05,SUMATERA BARAT,TANAH DATAR,1144012,100.586900,-0.447845
13,06,Sumatera Barat,Padang Pariaman,1144012,100.227732,-0.550909
13,07,SUMATERA BARAT,AGAM,1144012,100.174281,-0.228461
13,08,SUMATERA BARAT,LIMA PULUH KOTA,1144012,100.540767,0.078508
13,09,SUMATERA BARAT,PASAMAN,1144012,100.099419,0.410855
13,10,SUMATERA BARAT,SOLOK SELATAN,1144012,101.258423,-1.393285
13,11,SUMATERA BARAT,DHARMASRAYA,1144012,101.574037,-1.154474
13,12,SUMATERA BARAT,PASAMAN BARAT,1144012,99.676353,0.225038
13,71,SUMATERA BARAT,PADANG,1144012,100.383703,-0.903134
13,72,SUMATERA BARAT,SOLOK,1144012,100.836457,-0.957731
13,73,SUMATERA BARAT,SAWAH LUNTO,1144012,100.751811,-0.651170
13,74,SUMATERA BARAT,PADANG PANJANG,1144012,100.401337,-0.469531
13,75,SUMATERA BARAT,BUKITTINGGI,1144012,100.373782,-0.303361
