PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
33,01,JAWA TENGAH,CILACAP,1144123,108.842237, -7.471174
33,02,JAWA TENGAH,BANYUMAS,1144123,109.184998, -7.438573
33,03,JAWA TENGAH,PURBALINGGA,1144123,109.418501, -7.318796
33,04,JAWA TENGAH,BANJARNEGARA,1144123,109.649131, -7.349061
33,05,JAWA TENGAH,KEBUMEN,1144123,109.622358, -7.637793
33,06,JAWA TENGAH,PURWOREJO,1144123,110.023972,-7.721327
33,07,JAWA TENGAH,WONOSOBO,1144123,109.908372, -7.394262
33,08,JAWA TENGAH,MAGELANG,1144123,110.244757, -7.493802
33,09,JAWA TENGAH,BOYOLALI,1144123,110.658770, -7.421050
33,10,JAWA TENGAH,KLATEN,1144123,110.600926, -7.675459
33,11,JAWA TENGAH,SUKOHARJO,1144123,110.842407, -7.675339
33,12,JAWA TENGAH,WONOGIRI,1144123,110.991364, -7.899248
33,13,JAWA TENGAH,KARANGANYAR,1144123,111.033809, -7.614131
33,14,JAWA TENGAH,SRAGEN,1144123,110.968307, -7.372507
33,15,JAWA TENGAH,GROBOGAN,1144123,110.903759, -7.102690
33,16,JAWA TENGAH,BLORA,1144123,111.390128, -7.069585
33,17,JAWA TENGAH,REMBANG,1144123,111.449333, -6.769833
